Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
2075;Kvernhusfossen;Kraftverk;K;TERRÅK KRAFTVERK AS;926308661;Nordland;18;Bindal;11;2021;2021;2,1;6,412;27;9;0,065;4;144.4A;ja;2021-12-17;[object Object];Idrift;;;Terråkelva;01;607;nei;;10;NVE - område: 10;
1745;Kverninga;Kraftverk;K;KVERNINGA KRAFTVERK AS;929537157;Innlandet;34;Rendalen;24;2013;2013;2,832;7,459;310;1,1;0,715;1;002.JE7Z;ja;2013-09-26;[object Object];Idrift;;;Glommavassdraget;65;004;nei;;1;NVE - område: 1;
1435;Kvernstad;Kraftverk;K;KVERNSTAD KRAFT AS;989761927;Trøndelag;50;Orkland;59;2008;2008;2,75;9,119;280,5;1,15;0,664;3;119.11Z;ja;2008-11-03;[object Object],[object Object];Idrift;;;Haugelva;01;479;nei;;8;NVE - område: 8;
974;Kvernstufossen;Kraftverk;K;AKERSHUS MILJØKRAFT AS;982910013;Akershus;32;Gjerdrum;30;1997;1997;0,5;1,406;;;;1;002.CAAA0;ja;1997-01-01;;Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
1890;Kvernåi;Kraftverk;K;SMÅKRAFT AS;984616155;Innlandet;34;Lesja;32;2017;2017;2,83;6,062;366,3;0,9;0,873;3;002.DK0;ja;2017-05-04;[object Object],[object Object];Idrift;;;Glommavassdraget;;004;nei;;8;NVE - område: 8;
222;Kvilldal;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Rogaland;11;Suldal;34;1981;1981;1240;3230,895;536,5;263,33;1,307;2;036.B121;ja;1981-12-11;[object Object],[object Object],[object Object],[object Object];Idrift;;;Suldalsvassdraget;12;166;nei;;3;NVE - område: 3;
1654;Kvina;Kraftverk;K;MK HELGELAND AS;988038628;Nordland;18;Lurøy;34;2006;2006;0,32;0,648;195,6;0,21;0,423;4;157.70;ja;2006-10-16;[object Object];Idrift;;;KYSTFELT;;999;nei;;10;NVE - område: 10;
223;Kvinen;Kraftverk;K;SIRA KVINA KRAFTSELSKAP;954090493;Agder;42;Sirdal;28;1981;1981;80;235,836;120;76,88;0,289;2;026.H3B;ja;1981-11-01;[object Object],[object Object],[object Object],[object Object];Idrift;;;Sira;24;132;nei;;4;NVE - område: 4;
1182;Kvinesdal;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Kvinesdal;27;1918;2006;1,3;6,328;278;0,6;0,602;2;025.B2Z;ja;2006-11-07;[object Object];Idrift;;;Kvina;21;127;nei;;4;NVE - område: 4;
1228;Kvitefella;Kraftverk;K;KVITEFELLA KRAFT AS;986616535;Vestland;46;Gloppen;50;2005;2005;1,3;5,744;203;0,8;0,451;3;087.11Z;ja;2005-02-09;[object Object];Idrift;;;Kvitefella;01;372;nei;;13;NVE - område: 13;
1591;Kvitelva;Kraftverk;K;PELTON AS;918609881;Vestland;46;Kvam;22;2011;2011;0,45;1,427;212;0,25;0,5;2;053.42;ja;2011-05-26;[object Object];Idrift;;;KYSTFELT;;999;nei;;5;NVE - område: 5;
224;Kvitfossen;Kraftverk;K;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;1956;1956;1,8;5,241;240;1;0,5;4;179.33A;ja;1956-01-01;[object Object],[object Object];Idrift;;;Kvitforselva;31;751;nei;;11;NVE - område: 11;
860;Kvitingen;Kraftverk;K;TELEMARK ENERGI PRODUKSJON AS;963022158;Telemark ;40;Midt-Telemark;20;1926;1926;0,3;1,515;;;;2;016.CA10;ja;1926-01-01;;Idrift;;;Skiensvassdraget;;078;nei;;3;NVE - område: 3;
1786;Kvitno;Kraftverk;K;KVITNO KRAFT AS;995703963;Vestland;46;Ullensvang;18;2015;2015;9;31,362;390,5;2,7;0,926;2;048.3Z;ja;2015-06-23;[object Object];Idrift;;;Byteselvi;01;210;nei;;3;NVE - område: 3;
225;Kvittingen;Kraftverk;K;EVINY FORNYBAR AS;876944642;Vestland;46;Samnanger;23;1984;1984;48;155,313;251;20,67;0,626;5;055.D2A;ja;1984-11-01;[object Object],[object Object],[object Object],[object Object];Idrift;;;Samnangervassdraget;13;246;nei;;6;NVE - område: 6;
1782;Kvitvella;Kraftverk;K;KVITVELLA ELECTRISITETSVERK AS;997434072;Innlandet;34;Nord-Aurdal;51;2014;2014;1,55;4,46;15,56;11,55;0,037;1;012.LA2;ja;2014-04-29;[object Object];Idrift;;;Drammensvassdraget;;043;nei;;1;NVE - område: 1;
1960;Kvitåi;Kraftverk;K;SMÅKRAFT AS;984616155;Telemark ;40;Tinn;26;2019;2019;2,58;6,244;267,5;1,23;0,583;2;016.H2B;ja;2019-04-10;[object Object];Idrift;;;Skiensvassdraget;;078;nei;;3;NVE - område: 3;
1239;Kviven;Kraftverk;K;KVIVEN KRAFT AS;987200715;Møre og Romsdal;15;Volda;77;2006;2006;1,55;5,495;223;0,9;0,478;3;094.4D;ja;2006-02-01;[object Object];Idrift;;;Austefjordvassdraget;11;394;nei;;8;NVE - område: 8;
226;Kvænangsbotn;Kraftverk;K;YMBER PRODUKSJON AS;913680294;Troms;55;Kvænangen;46;1965;1965;55;197,691;308;20;0,764;4;209.4Z;ja;1965-10-28;[object Object],[object Object],[object Object],[object Object];Idrift;;;Abojohka;01;834;nei;;12;NVE - område: 12;
2090;Kvævebekken;Kraftverk;K;KVÆVEBEKKEN 2 AS;926185896;Agder;42;Sirdal;28;2022;2022;1,8;5,4;200,7;1,1;0,455;2;026.J3;ja;2022-12-21;[object Object];Idrift;;;Sira;;132;nei;;4;NVE - område: 4;
1465;Kvåle;Kraftverk;K;LUSTER SMÅKRAFT AS;988913480;Vestland;46;Luster;44;2009;2009;4,6;18,337;112;5;0,256;5;075.5A0;ja;2009-05-06;[object Object];Idrift;;;Dalsdalselvi;01;309;nei;;7;NVE - område: 7;
862;Kvåmm;Kraftverk;K;;;Telemark ;40;Vinje;36;2003;2003;0,017;0,052;;;;2;016.BG12;ja;2003-01-01;[object Object];Idrift;;;Skiensvassdraget;;078;nei;;3;NVE - område: 3;
1550;Kylland;Kraftverk;K;KYLLAND KRAFT AS;991336699;Agder;42;Åseral;24;2010;2010;1,3;3,524;93,4;1,7;0,212;2;022.D7;ja;2010-08-24;[object Object];Idrift;;;Mandalselva;20;119;nei;;4;NVE - område: 4;
1631;Kyrkjevollgrova;Kraftverk;K;KYRKJEVOLLGROVA SMÅSTØYT DA;993605204;Møre og Romsdal;15;Ørsta;20;2010;2010;0,3;0,841;230;0,24;0,347;3;095.BA;ja;2010-02-15;[object Object];Idrift;;;Ørstavassdraget;;395;nei;;8;NVE - område: 8;
1495;Kysinga;Kraftverk;K;SVORKA ENERGI AS;919763159;Trøndelag;50;Rindal;61;2010;2010;1,25;4,022;135;1,5;0,231;3;112.CA4A;ja;2010-04-30;[object Object];Idrift;;;Surna;30;457;nei;;8;NVE - område: 8;
229;Kåven;Kraftverk;K;ALTA KRAFTLAG SA;971029390;Finnmark;56;Alta;01;1952;1952;4,5;18,577;115;4,48;0,236;4;211.7A;ja;1952-01-01;[object Object],[object Object];Idrift;;;Kovelva;01;846;nei;;12;NVE - område: 12;
1608;Laksen;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Vefsn;24;2012;2012;4,949;23,927;78,7;7;0,196;4;149.5C;ja;2012-01-09;[object Object];Idrift;;;Grytåa;04;628;nei;;10;NVE - område: 10;
768;Lakshola;Kraftverk;K;SISO ENERGI AS;986530673;Nordland;18;Sørfold;45;1999;1999;30;115,582;314;10,8;0,772;4;166.5A0;ja;1999-12-01;[object Object];Idrift;;;Laksåga;01;711;nei;;10;NVE - område: 10;
1442;Landakraft;Kraftverk;K;LANDAKRAFT AS;980713830;Vestland;46;Kvinnherad;17;2010;2010;2;7,083;182;1,38;0,403;2;045.31Z;ja;2010-06-09;[object Object];Idrift;;;Storelva;01;186;nei;;5;NVE - område: 5;
1685;Langdalselva;Kraftverk;K;SMÅKRAFT AS;984616155;Troms;55;Kvænangen;46;2013;2013;4,3;7,314;235;2,3;0,519;4;210.3A;ja;2013-06-12;[object Object];Idrift;;;Langdalselva;01;839;nei;;12;NVE - område: 12;
1931;Langedal;Kraftverk;K;LANGEDAL KRAFT AS;915341500;Vestland;46;Kinn;02;2018;2018;3;12,551;138;2,57;0,324;3;085.C1A;ja;2018-08-22;[object Object];Idrift;;;Oselvvassdraget;;999;nei;;13;NVE - område: 13;
1516;Langedalen;Kraftverk;K;LITLEBØ KRAFT AS;992530448;Møre og Romsdal;15;Stranda;25;2011;2011;5;15,6;80;7,9;0,176;3;098.5C;ja;2011-05-03;[object Object];Idrift;;;Langedalselva;03;411;nei;;8;NVE - område: 8;
1939;Langedalselva;Kraftverk;K;LANGEDALSELVA KRAFT AS;919559330;Vestland;46;Gloppen;50;2018;2018;0,99;6,455;283,9;0,47;0,585;3;087.1AZ;ja;2018-11-21;[object Object];Idrift;;;Traudalselva;;368;nei;;13;NVE - område: 13;
939;Langevåg;Kraftverk;K;O, A. DEVOLDS SØNNER AS;911179180;Møre og Romsdal;15;Sula;31;1939;1939;0,125;0,2;;;;3;101.41;ja;1939-01-01;;Idrift;;;KYSTFELT;;999;nei;;8;NVE - område: 8;
233;Langfjord;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;1949;2005;9;39,142;255;4;0,625;4;148.31Z;ja;2005-12-22;[object Object],[object Object];Idrift;;;Øyrelva;01;619;nei;;10;NVE - område: 10;
234;Langfoss;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Telemark ;40;Kragerø;14;1955;1955;2,4;11,717;7,69;39,22;0,017;2;017.A0;ja;1955-12-01;[object Object],[object Object];Idrift;;;Kragerøvassdraget;03;096;nei;;3;NVE - område: 3;
897;Langli;Kraftverk;K;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Molde;06;1944;2014;1,2;3,868;42;3,2;0,104;3;105.3C;ja;2014-12-17;[object Object],[object Object];Idrift;;;Olteråa;03;440;nei;;8;NVE - område: 8;
231;Lang-Sima;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Vestland;46;Eidfjord;19;1980;1980;500;1252,469;1065;51,7;2,686;5;051.2AAB;ja;1980-05-20;[object Object],[object Object];Idrift;;;Osa-vassdraget;01;225;nei;;2;NVE - område: 2;
1113;Langsteinelva;Kraftverk;K;;;Trøndelag;50;Stjørdal;35;1997;1997;0,09;0,138;26;;;3;125.1Z;ja;1997-01-01;[object Object];Idrift;;;Langsteinelva;;999;nei;;9;NVE - område: 9;
235;Langvatn;Kraftverk;K;SKS PRODUKSJON AS;915637353;Nordland;18;Gildeskål;38;1978;1978;5,4;18,94;60,59;10,78;0,138;4;161.1B2B;ja;1978-01-01;[object Object],[object Object];Idrift;;;Sundfjordelva;02;682;nei;;10;NVE - område: 10;
236;Langvatn;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Nordland;18;Rana;33;1964;1964;90;335,945;43;284;0,088;4;156.A0;ja;1964-08-19;[object Object],[object Object],[object Object];Idrift;;;Ranavassdraget;11;655;nei;;10;NVE - område: 10;
237;Langåsfoss;Kraftverk;K;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Levanger;37;1987;1987;1,13;3,227;80;1,79;0,17;3;126.6AA;ja;1987-11-16;[object Object];Idrift;;;Levangervassdraget;01;512;nei;;9;NVE - område: 9;
1461;Lappvikelva;Kraftverk;K;NORDIC POWER AS;914341183;Nordland;18;Narvik;06;2010;2010;2,7;4,716;310;1;0,75;4;173.72Z;ja;2010-09-02;[object Object];Idrift;;;Lappvikelva;21;738;nei;;11;NVE - område: 11;
1943;Laskbekken;Kraftverk;K;STORFORSHEI NATURKRAFT AS;985229244;Nordland;18;Rana;33;2018;2018;0,99;3,34;181;0,75;0,367;4;156.D2D2BZ;ja;2018-06-25;[object Object];Idrift;;;Ranavassdraget;;655;nei;;10;NVE - område: 10;
238;Lassajavrri;Kraftverk;K;YMBER PRODUKSJON AS;913680294;Troms;55;Kvænangen;46;1977;1977;7,2;33,159;146;6,19;0,324;4;209.4AC;ja;1977-10-01;[object Object],[object Object];Idrift;;;Abojohka;03;834;nei;;12;NVE - område: 12;
239;Laudal;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Lindesnes;05;1981;1981;26;123,457;36,47;109,73;0,066;2;022.B222;ja;1981-01-01;[object Object];Idrift;;;Mandalselva;04;119;nei;;4;NVE - område: 4;
1252;Laugaland;Kraftverk;K;LAUGALAND KRAFT AS;989198882;Rogaland;11;Hjelmeland;33;2006;2006;0,075;0,458;60;0,16;0,13;2;035.3AZ;ja;2006-11-20;[object Object];Idrift;;;Vormo;;999;nei;;3;NVE - område: 3;
955;Lauki og Melei;Kraftverk;K;LAUKI OG MELEI KRAFTLAG SA;970541896;Vestland;46;Stryn;51;1917;1917;0,1;0,159;;;;3;088.1A;ja;1917-01-01;[object Object];Idrift;;;Oldenvassdraget;;999;nei;;13;NVE - område: 13;
1730;Lauvlielva;Kraftverk;K;LAUVLIELVA KRAFT AS;893530312;Innlandet;34;Nordre Land;48;2012;2012;1,25;3,224;153,5;0,9;0,386;1;012.EDB1Z;ja;2012-03-27;[object Object];Idrift;;;Drammensvassdraget;;043;nei;;1;NVE - område: 1;
1427;Lauvsnes;Kraftverk;K;SMÅKRAFT AS;984616155;Trøndelag;50;Flatanger;49;2008;2008;1,4;4,287;16,5;9,5;0,041;3;137.7Z;ja;2008-05-01;[object Object];Idrift;;;Lauvsnesvassdraget;01;566;nei;;9;NVE - område: 9;
2063;Lauvstad;Kraftverk;K;LAUVSTAD KRAFTVERK AS;922414440;Telemark ;40;Drangedal;16;2022;2022;1,89;6,568;102;2,328;0,226;2;017.G1B;ja;2022-11-02;[object Object],[object Object];Idrift;;;Kragerøvassdraget;;096;nei;;3;NVE - område: 3;
240;Lavkajohka;Kraftverk;K;TROMS KRAFT PRODUKSJON AS;979152116;Troms;55;Storfjord;38;1982;1982;8,7;28,168;133;7,38;0,326;4;205.B3B4;ja;1982-01-28;[object Object];Idrift;;;Skibotnvassdraget;02;819;nei;;11;NVE - område: 11;
1277;Leidesfossen;Kraftverk;K;EFTESTØL Ole Tom;969095335;Agder;42;Kvinesdal;27;2000;2000;0,3;1,283;;;;2;025.AC;ja;2000-01-01;[object Object];Idrift;;;Kvina;;999;nei;;4;NVE - område: 4;
1926;Leikanger;Kraftverk;K;LEIKANGER KRAFT AS;923662618;Vestland;46;Sogndal;40;2020;2020;77;200,792;595;14,6;1,465;5;077.6D;ja;2020-04-29;[object Object],[object Object],[object Object];Idrift;;;Grindselvi;01;315;nei;;7;NVE - område: 7;
241;Leinafoss;Kraftverk;K;AURLAND ENERGIVERK AS;975332438;Vestland;46;Aurland;41;1932;1994;4,8;23,44;54;10,02;0,133;5;072.2A;ja;1994-05-09;[object Object],[object Object],[object Object],[object Object];Idrift;;;Flåmselvi;01;292;nei;;2;NVE - område: 2;
1027;Leirbekken;Kraftverk;K;ORKLAND ENERGI PRODUKSJON AS;917019258;Trøndelag;50;Orkland;59;1915;1915;0,945;3,114;;;;3;121.A1Z;ja;1915-01-23;;Idrift;;;Orkla;;493;nei;;8;NVE - område: 8;
242;Leirdøla;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Vestland;46;Luster;44;1978;1978;125;498,403;454;31;1,067;5;076.B2Z;ja;1978-10-23;[object Object],[object Object],[object Object];Idrift;;;Jostedøla;06;311;nei;;7;NVE - område: 7;
1724;Leirelva;Kraftverk;K;SMÅKRAFT AS;984616155;Nordland;18;Hemnes;32;2013;2013;4,59;11,534;254;2,1;0,607;4;155.AC0;ja;2013-12-18;[object Object];Idrift;;;Røssåga;21;648;nei;;10;NVE - område: 10;
1408;Leirfossene;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim;01;2008;2008;45;184,018;61;85;0,151;3;123.A3;ja;2008-12-01;[object Object];Idrift;;;Nidelvvassdraget;07;499;nei;;9;NVE - område: 9;
1647;Leiro;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Vestland;46;Eidfjord;19;2011;2011;5;8,105;80;7;0,198;5;050.CA;ja;2011-06-24;[object Object];Idrift;;;Eidfjordvassdraget;03;222;nei;;2;NVE - område: 2;
1092;Leirosen;Kraftverk;K;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;1975;1975;0,45;1,744;;;;4;179.4A;ja;1975-01-01;;Idrift;;;Kongselva;;751;nei;;11;NVE - område: 11;
1853;Leiråa;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;2017;2017;5,5;24,777;332,11;1,9;0,804;4;144.72Z;ja;2017-03-01;[object Object];Idrift;;;Leiråa;01;615;nei;;10;NVE - område: 10;
1834;Leknesvatn;Kraftverk;K;SFE AS;984882106;Vestland;46;Askvoll;45;2016;2016;3,8;13,867;253,7;1,8;0,586;3;084.5E;ja;2016-10-21;[object Object];Idrift;;;Skorveelva;03;344;nei;;13;NVE - område: 13;
630;Lekum;Kraftverk;K;SMÅKRAFT AS;984616155;Østfold;31;Indre Østfold;18;1992;1992;1,5;3,349;31,39;5,48;0,071;1;002.B12;ja;1992-01-01;[object Object];Idrift;;;Glommavassdraget;11;004;nei;;1;NVE - område: 1;
1007;Lesjaverk;Kraftverk;K;;;Innlandet;34;Lesja;32;1942;1942;0,0085;0,038;4;;;3;002.DL;ja;1942-12-23;;Idrift;;;Glommavassdraget;;005;nei;;8;NVE - område: 8;
1844;Liaelva;Kraftverk;K;SMÅKRAFT AS;984616155;Innlandet;34;Sør-Aurdal;49;2016;2016;1,5;3,243;263,06;0,7;0,595;1;012.J6Z;ja;2016-12-05;[object Object];Idrift;;;Drammensvassdraget;;043;nei;;1;NVE - område: 1;
243;Liafoss;Kraftverk;K;ALBERT COLLETT;911074184;Trøndelag;50;Nærøysund;60;1949;1949;2,9;17,602;45,59;8,8;0,0915;3;141.B;ja;1949-01-01;;Idrift;;;Oppløyelva;03;588;nei;;9;NVE - område: 9;
1749;Liarelva;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;2013;2013;1,9;4,376;430,5;0,5;1,056;2;042.711Z;ja;2013-07-12;[object Object];Idrift;;;Liarelva;01;192;nei;;5;NVE - område: 5;
244;Liavatn;Kraftverk;K;ALBERT COLLETT;911074184;Trøndelag;50;Nærøysund;60;1962;1962;1,8;11,82;56,09;5,01;0,0998;3;141.C;ja;1962-01-01;[object Object],[object Object];Idrift;;;Oppløyelva;04;588;nei;;9;NVE - område: 9;
2156;Liavatn;Kraftverk;K;DALANE KRAFT AS;982388406;Rogaland;11;Eigersund;01;2024;2024;0,5;2;15;4;0,035;2;027.1E3;ja;2024-09-23;[object Object];Idrift;;;Grødeimelva;03;135;nei;;4;NVE - område: 4;
1912;Lidal;Kraftverk;K;FJÆRLAND KRAFT AS;916498721;Vestland;46;Sogndal;40;2017;2017;7,82;8,882;636,9;1,5;1,448;5;078.12Z;ja;2017-10-09;[object Object];Idrift;;;Kvanndøla;01;321;nei;;7;NVE - område: 7;
1709;Lielva;Kraftverk;K;NITO AS;988926930;Buskerud;33;Flå;20;2012;2012;1,15;3,003;186;0,77;0,415;5;012.CB5Z;ja;2012-09-25;[object Object];Idrift;;;Drammensvassdraget;62;043;nei;;2;NVE - område: 2;
2008;Liemyr;Kraftverk;K;SIRDAL KRAFT AS;920828108;Agder;42;Sirdal;28;2020;2020;1,42;5,224;31;6,2;0,064;2;026.D1A5;ja;2020-03-10;[object Object];Idrift;;;Sira;13;132;nei;;4;NVE - område: 4;
1887;Lille Måsevatn;Pumpe;P;STATKRAFT ENERGI AS;987059729;Finnmark;56;Lebesby;24;2016;2016;-0,68;-1,547;-34,05;1,4;;4;229.A2B;ja;2016-11-24;[object Object];Idrift;;;Adamselvvassdraget;03;893;nei;;12;NVE - område: 12;
790;Lindland;Kraftverk;K;DALANE KRAFT AS;982388406;Rogaland;11;Sokndal;11;2002;2002;8,1;41,709;106;10;0,248;2;026.4B22;ja;2002-10-11;[object Object],[object Object],[object Object],[object Object];Idrift;;;Sokno;02;134;nei;;4;NVE - område: 4;
1615;Lindåna;Kraftverk;K;CADRE ELVEKRAFT AS;929375769;Agder;42;Evje og Hornnes;19;2011;2011;1,45;4,335;135;1,35;0,298;2;021.B62;ja;2011-03-09;[object Object];Idrift;;;Otra;;115;nei;;4;NVE - område: 4;
245;Linvasselv;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Lierne;42;1962;1962;25;70,59;106,69;27,45;0,252;4;307.3B9;ja;1962-12-02;[object Object];Idrift;;;Faxälven;01;964;nei;;10;NVE - område: 10;
246;Lio;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Telemark ;40;Tokke;34;1969;1969;43;266,18;346;13,98;0,854;2;016.BE2A10;ja;1969-02-13;[object Object],[object Object];Idrift;;;Skiensvassdraget;95;078;nei;;3;NVE - område: 3;
1754;Lislevatn;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Evje og Hornnes;19;2015;2015;4,2;13,506;92,2;5;0,233;2;020.BBC;ja;2015-03-03;[object Object],[object Object],[object Object];Idrift;;;Tovdalsvassdraget;23;111;nei;;4;NVE - område: 4;
247;Litjfossen;Kraftverk;K;KRAFTVERKENE I ORKLA DA;947576283;Innlandet;34;Tynset;27;1982;1982;75;135,791;285;30,02;0,694;3;121.E5A;ja;1982-10-01;[object Object],[object Object],[object Object];Idrift;;;Orkla;13;493;nei;;8;NVE - område: 8;
1748;Litj-Hena;Kraftverk;K;LITJ-HENA KRAFTVERK AS;912040909;Trøndelag;50;Tydal;33;2014;2014;4,858;10,189;260,7;2,12;0,637;3;123.D7Z;ja;2014-07-12;[object Object];Idrift;;;Nidelvvassdraget;29;499;nei;;9;NVE - område: 9;
248;Litledalen;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Etne;11;1920;1963;17;32,3;126;16,8;0,281;2;041.AB;ja;1963-01-01;[object Object],[object Object],[object Object];Idrift;;;Etnevassdraget;11;183;nei;;5;NVE - område: 5;
1475;Litlelva;Kraftverk;K;ULVIG KIÆR AS;986531491;Trøndelag;50;Namsskogan;44;2009;2009;1,36;2,702;140;1,15;0,329;4;139.E4B;ja;2009-05-12;[object Object];Idrift;;;Namsen;53;579;nei;;10;NVE - område: 10;
1729;Litleåna;Kraftverk;K;MYGLAND KRAFT AS;998072867;Agder;42;Kvinesdal;27;2013;2013;3,2;8,482;67;5,7;0,156;2;025.AC42;ja;2013-01-02;[object Object];Idrift;;;Kvina;07;127;nei;;4;NVE - område: 4;
1970;Ljotå;Kraftverk;K;LJOTÅ KRAFTVERK AS;994724819;Vestland;46;Bjørnafjorden;24;2019;2019;1,65;5,347;153,1;1,32;0,347;2;053.80;ja;2019-12-23;[object Object];Idrift;;;KYSTFELT;;999;nei;;5;NVE - område: 5;
1437;Ljøsåa;Kraftverk;K;SMÅKRAFT AS;984616155;Møre og Romsdal;15;Sunndal;63;2008;2008;2,6;4,623;373;0,81;0,892;3;109.4Z;ja;2008-08-26;[object Object];Idrift;;;Usma;03;450;nei;;8;NVE - område: 8;
250;Logna;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Åseral;24;1961;1961;20,2;106,69;146,39;15,89;0,352;2;022.EB2B;ja;1961-12-04;[object Object],[object Object];Idrift;;;Mandalselva;22;119;nei;;4;NVE - område: 4;
251;Lomen;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Vestre Slidre;52;1983;1983;54,5;171,527;308;20,51;0,737;1;012.M;ja;1983-11-17;[object Object];Idrift;;;Drammensvassdraget;38;043;nei;;1;NVE - område: 1;
252;Lomi;Kraftverk;K;SKS PRODUKSJON AS;915637353;Nordland;18;Fauske %u2013 Fuossko;41;1979;1979;118;391,838;560;25,01;1,311;4;164.D9;ja;1979-01-01;[object Object];Idrift;;;Sulitjelmavassdraget;21;698;nei;;10;NVE - område: 10;
1177;Lomsdalselva;Kraftverk;K;ANDREAS LOMSDAL;969742918;Innlandet;34;Søndre Land;47;1998;1998;0,025;0,052;;;;1;012.EZ;ja;1998-01-01;;Idrift;;;Drammensvassdraget;;043;nei;;1;NVE - område: 1;
2148;Lona;Kraftverk;K;LONA KRAFTVERK AS;931563106;Agder;42;Flekkefjord;07;2024;2024;0,55;2;72,5;0,94;0,163;2;026.D2B;ja;2024-08-29;[object Object];Idrift;;;Sira;;132;nei;;4;NVE - område: 4;
232;Longerak;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Bygland;20;1915;1915;1,2999;6,735;298;0,69;0,515;2;021.D30;ja;1915-01-01;;Idrift;;;Otra;11;115;nei;;4;NVE - område: 4;
1688;Lothe;Kraftverk;K;SJUR LOTHE;820285522;Vestland;46;Ullensvang;18;2007;2007;0,09;0,446;203;0,055;0,455;5;047.40;ja;2007-03-15;[object Object];Idrift;;;KYSTFELT;;999;nei;;6;NVE - område: 6;
1595;Lotsberg;Kraftverk;K;SMÅKRAFT GREEN BOND 1 AS;921075758;Vestland;46;Stad;49;2010;2010;1,45;3,688;271;0,65;0,62;3;089.2A;ja;2010-10-26;[object Object];Idrift;;;Lotsbegelva;;999;nei;;13;NVE - område: 13;
253;Lovik;Kraftverk;K;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Andøy;71;1952;1952;1,2;4,941;92;1,79;0,185;4;178.74A4;ja;1952-01-01;[object Object];Idrift;;;Storelva;01;759;nei;;11;NVE - område: 11;
953;Lundsfoss;Kraftverk;K;LUNDSFOSS KRAFTSTASJON AS;959395721;Akershus;32;Aurskog-Høland;26;1915;1915;0,7;3,541;;;;1;001.FA;ja;1915-01-01;;Idrift;;;Haldenvassdraget;;003;nei;;1;NVE - område: 1;
1338;Lundsæter;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Stord;14;1934;1934;0,75;1,86;111,5;0,9;0,231;2;044.3Z;ja;1934-01-01;;Idrift;;;Frugardselva;;999;nei;;5;NVE - område: 5;
254;Luostejok;Kraftverk;K;INFRANORD PRODUKSJON AS;924934891;Finnmark;56;Porsanger;22;1956;2020;2,58;14,474;28,3;10;0,072;4;224.E12;ja;2020-02-04;[object Object],[object Object];Idrift;;;Lakselvvassdraget;04;886;nei;;12;NVE - område: 12;
1184;Luren;Kraftverk;K;;;Rogaland;11;Vindafjord;60;1998;1998;0,0026;0,013;45;;;2;041.322;ja;1998-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;5;NVE - område: 5;
255;Lutufallet;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Trysil;21;1964;1964;14,1;62,771;13,69;118,69;0,032;1;311.A52;ja;1964-12-15;[object Object];Idrift;;;Trysilelva;01;979;nei;;1;NVE - område: 1;
