Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
1839;Baggfossen;Kraftverk;K;BENCHMARK GENETICS SALTEN AS;916000030;Nordland;18;Sørfold;45;2015;2015;0,132;0,401;24;0,81;0,046;4;167.2A;ja;2015-12-17;[object Object];Idrift;;;Sørfjordelva;;661;nei;;10;NVE - område: 10;
15;Bagn;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Innlandet;34;Sør-Aurdal;49;1963;1963;75,5;344,41;87;99,7;0,21;1;012.J1;ja;1963-01-12;[object Object],[object Object],[object Object];Idrift;;;Drammensvassdraget;34;043;nei;;1;NVE - område: 1;
1993;Bakkeelva;Kraftverk;K;TROLLEKRAFT AS;920387896;Vestland;46;Askvoll;45;2019;2019;2,5;8,006;222;1,4;0,496;3;083.42A;ja;2019-11-29;[object Object];Idrift;;;Bakkelva;;999;nei;;13;NVE - område: 13;
941;Bakkefossen;Kraftverk;K;NILS ANDERS GJERLAND;891308272;Vestland;46;Sunnfjord;47;1994;1994;0,0738;0,646;;;;3;083.EA0;ja;1994-01-01;;Idrift;;;Gaularvassdraget;;337;nei;;13;NVE - område: 13;
16;Bardufoss;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Troms;55;Målselv;24;1953;1953;43;242,4;53;84,5;0,141;4;196.AA3;ja;1953-10-01;[object Object],[object Object],[object Object],[object Object];Idrift;;;Målselvvassdraget;02;791;nei;;11;NVE - område: 11;
17;Bedafors;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Kongsvinger;01;1985;1985;1;3,343;19,29;5,44;0,05;1;313.A1F2;ja;1985-12-01;[object Object];Idrift;;;Byälven-mangenvassdraget;02;985;nei;;1;NVE - område: 1;
792;Befring;Kraftverk;K;BEFRING KRAFT AS;984512481;Vestland;46;Sunnfjord;47;2003;2003;4,5;20,693;281;1,9;0,658;3;087.E;ja;2003-04-07;[object Object],[object Object];Idrift;;;Breimsvassdraget;04;369;nei;;13;NVE - område: 13;
18;Begna;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Buskerud;33;Ringerike;05;1954;1954;5,6;36,546;8;81,87;0,018;1;012.F23;ja;1954-08-01;;Idrift;;;Drammensvassdraget;27;043;nei;;1;NVE - område: 1;
1678;Bele;Kraftverk;K;BELE KRAFT AS;995357895;Møre og Romsdal;15;Surnadal;66;2013;2013;2,9;7,729;379;0,94;0,857;3;112.4Z;ja;2013-01-19;[object Object];Idrift;;;Beleelva;;999;nei;;8;NVE - område: 8;
910;Bele mikrokraftverk;Kraftverk;K;BELE KRAFTVERK DA;989814702;Møre og Romsdal;15;Surnadal;66;2007;2007;0,082;0,32;91;0,2;;3;112.4Z;ja;2007-01-01;;Idrift;;;Beleelva;;999;nei;;8;NVE - område: 8;
